,smiles,LogP,model
253,O=c1c2cc(Cl)ccc2nn(Cc2ccccc2)c1Nc1ccccc1,0.0,pre
254,O=C1c2ccccc2C(=O)N1CCN1CC2(CCN(CCc3ccc(Cl)cc3)CC2)c2ccccc21,0.50325,pre
255,CC(C(=O)c1ccc2c(c1)c(C(C)(C)C)c(Cc1ccc([N+](=O)[O-])cc1)c1ccccc12)NCCc1ccccc1Cl,0.88464,pre
256,N#Cc1cc(Cl)ccc1-c1cc(-c2ccc(Cl)cc2)c(-c2ccccc2)c(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,1.250688,post
257,Oc1ccc(-c2cc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3)c(Cl)c2NCc2cc(Cl)ccc2Cl)cc1-c1ccc(Cl)cc1,1.35927,post
258,Clc1ccc(Cl)cc1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2cc(Cl)ccc2CCc2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,1.63806,post
259,COC(CC(Cc1ccc(Cl)cc1Cl)c1ccc(-c2ccc(Cl)cc2)cc1)c1ccc(Cl)cc1,1.00713,post
260,Oc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1cc(-c2ccccc2)ccc1-c1ccc(Cl)cc1,1.46612,post
261,CC(C)(c1ccc(Oc2ccc(C(F)(F)F)cc2)cc1-c1cc(-c2ccc(F)cc2)c(Cl)cc1-c1cc(-c2ccc(Cl)cc2)c(-c2ccccc2)cc1-c1cc(C(F)(F)F)ccc1Cl)c1cc(Cl)ccc1-c1cc(Cl)cc(OC,0.0,post
262,CC(c1ccc(Cl)cc1)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)cc1-c1cc(-c2ccccc2)cc(-c2cc(Cl)ccc2OCc2ccc(Cl)cc2)c1-c1ccc(CNC(CO)c2ccc(F)cc2Cl)c(Cl)c1-c1ccc(Cl),0.0,post
263,CC(C)(C)c1cc(-c2cc(C(F)(F)F)cc(Cl)c2)c(-c2cc(Cl)cc(Cl)c2)c(-c2ccccc2Cl)c1-c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,2.02457,post
264,Oc1ccc(-c2cc(-c3ccc(Cl)cc3)cc(-c3ccc(Cl)cc3)c2-c2ccc(-c3ccccc3)cc2)c(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,1.56748,post
265,Cc1cc(C(F)(F)F)c(-c2c(Cl)cc(C(F)(F)F)cc2Br)cc1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(Cl)c1-c1ccc(Cl)cc1,1.639712,post
266,CC(C)(C)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2cc(Cl)cc(Cl)c2)c1-c1cc(-c2ccc(Cl)cc2)c(Cl)cc1C(=O)Nc1ccc(Cl)cc1,1.71452,post
267,Cc1cc(F)ccc1-c1cc(-c2c(C(Cc3ccccc3)c3ccccc3)c(-c3ccc(Cl)cc3)cc(-c3ccc(Cl)cc3)c2-c2cc(C(F)(F)F)ccc2S(C)(=O)=O)ccc1-c1ccc(Cl)cc1,1.789322,post
268,COc1ccc(-c2cc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3)c2-c2cc(Cl)cc(Cl)c2)c(-c2ccc(Cl)cc2Cl)c1-c1ccc(F)cc1,1.80771,post
269,CC(C)(C)c1ccc(-c2ccc(-c3ccc(Cl)cc3)c(-c3ccccc3)c2oc1=O)c1cc(C(F)(F)F)ccc1-c1ccc(Cl)cc1,1.23364,post
270,N#Cc1cc(-c2ccc(-c3ccc(Cl)cc3)c(Cl)c2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1ccc(F)cc1,1.264598,post
271,Cc1cc(OCc2cc(Cl)ccc2Cl)c(Oc2ccc(-c3ccccc3)cc2)c(-c2cc(Cl)cc(Cl)c2)c1-c1ccc(N)cc1,1.256312,post
272,OC(Cc1ccc(Cl)cc1)(c1ccc(Cl)cc1Cl)c1c(Cl)cc(Cl)cc1-c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1cc(C(F)(F)F)ccc1-c1cc(Cl)ccc1Oc1ccccc1Cl,2.11919,post
273,Oc1cc(Cl)cc(Cl)c1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1Cl,2.35826,post
274,CC(C)(C)c1cc(C=Cc2cc(Cl)ccc2Cl)ccc1-c1ccc(Cl)cc1,0.87817,post
275,CC(C)(C)C(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1cc(-c2ccccc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,2.14786,post
276,CC(C)C(C(=O)Nc1ccc(Cl)cc1)c1c(Cl)cc(Oc2ccc(Cl)cc2)cc1-c1cc(C(F)(F)F)ccc1-c1ccc(Cl)cc1,1.28236,post
277,CC(C)(C)c1cc(-c2ccc(Cl)cc2)c(-c2ccnc(Cl)c2)c(-c2ccc(Br)cc2)c1-c1cc(-c2ccc(OCc3ccc(Cl)cc3)cc2)c(-c2ccc(Cl)cc2)cc1-c1ccc(Cl)cc1Cl,2.031,post
278,Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1cc(-c2ccc(F)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1,2.403132,post
279,Cc1ccc(-c2cc(C(F)(F)F)c(Oc3cc(Cl)cc(OCc4ccc(Cl)cc4)c3)c(-c3ccccc3Cl)c2-c2ccsc2)cc1-c1ccc(Cl)cc1,1.572822,post
280,Cc1cc(Cl)ccc1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,1.359702,post
281,CCC(CC)(CC#Cc1ccc(Oc2ccc(Cl)cc2)cc1)c1cc(Cl)ccc1-c1ccc(Cl)cc1,1.06057,post
282,COc1cc(-c2cc(C(F)(F)F)ccc2-c2cc(Cl)ccc2OCc2cc(OC)cc(Cl)c2)c(-c2ccc(Cl)cc2)c1-c1cc(-c2ccccc2)c(-c2c(Cl)cccc2Cl)c(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,0.0,post
283,Sc1ccc(-c2ccc(Cl)cc2)c(-c2cc(Cl)ccc2Sc2ccccc2)c1-c1cc(-c2ccccc2)c(-c2ccc(Cl)cc2)c(-c2ccccc2)c1-c1ccc(Cl)cc1,1.84091,post
284,C=C(F)CC(Cl)(CCl)Cc1ccc(Cl)cc1,0.49722,post
285,COc1ccc(-c2cc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3)cc2-c2cc(Cl)cc(Cl)c2)c(-c2ccc(Cl)cc2Cl)c1-c1ccc(-c2ccc(Cl)cc2)cc1-c1ccc(Cl)cc1,2.02584,post
286,Oc1ccc(-c2cc(-c3ccc(Cl)cc3)cc(-c3ccc(Cl)cc3)c2-c2cc(Cl)cc(Cl)c2)c(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1Cl,1.5968,post
287,CC(C)(C)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1ccc(-c2ccc(Cl)cc2)c(Cl)c1,1.45861,post
288,Clc1cc(-c2cc(Cl)cc(OCc3ccccc3)c2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1ccc(NCc2ccc(Cl)cc2)cc1,2.34409,post
289,COc1cc(-c2ccc(Cl)cc2)c(-c2cc(Cl)ccc2C(F)(F)F)cc1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,1.83034,post
290,CC1(C(=O)Nc2ccc(F)cc2)cccc1-c1ccc(-c2ccc(Cl)cc2)cc1-c1ccc(Cl)cc1F,0.92038,post
291,Cc1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Oc3ccc(C(F)(F)Cl)cc3)cc2)c1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,2.066482,post
292,Cc1ccc(-c2cc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3)c2-c2ccc(-c3ccc(F)cc3)c(Cl)c2)c(Cl)c1NC(Cc1ccccc1Cl)c1nc2ccccc2n1C,1.933912,post
293,Oc1ccc(-c2cc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3)c2-c2ccc(-c3ccccc3)cc2)cc1-c1ccc(Cl)cc1,1.56748,post
294,N#Cc1cc(-c2ccc(Cl)cc2)c(-c2cc(-c3ccc(Cl)cc3)ccc2C(F)(F)F)ccc1-c1ccc(-c2cccc(F)c2)cc1-c1ccc(C(F)(F)F)cc1,0.0,post
295,CC(C)(C)c1cc(-c2cc(Cl)cc(Cl)c2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,2.22007,post
296,C=CCc1cc(OCc2ccc(Cl)cc2)c(-c2ccc(CC(=O)OC3Cc4ccccc5CC4Cc4ccccc4)cc3)c(F)c2)cc1-c1ccc(Cl)cc1,0.0,post
297,COC(Cc1ccc(Cl)cc1)c1c(-c2ccccc2)cccc1-c1cc(-c2ccc(OCc3ccc(Cl)cc3)cc2)cccc1-c1ccc(-c2ccc(CC(Cc3ccccc3)c3ccccc3)c(Br)c2)c(-c2ccc(-c3ccccc3)cc2)c1,0.0,post
298,CS(=O)(=O)c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(-c3ccc(Cl)cc3Cl)cc2F)c1-c1cc(-c2ccccc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,1.84856,post
299,CC(C)(C)C(Cc1ccc(Cl)cc1Cl)(c1ccc(Cl)cc1)c1c(Cl)cc(C(F)(F)F)cc1-c1cc(-c2ccc(Cl)cc2)ccc1-c1ccc(C(F)(F)F)cc1Cl,1.72205,post
300,CC(C)(C)c1cc(-c2cc(C(F)(F)C(F)(F)F)cc(Cl)c2)c(-c2ccc(Cl)cc2)c(-c2ccc(F)cc2Cl)c1-c1cc(-c2ccc(F)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1cc(Cl)ccc1,2.28262,post
301,CC(C)(C)c1cc(-c2ccc(Cl)cc2)c(-c2cc(Cl)ccc2F)cc1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,1.9366,post
302,COc1cc(-c2cc(Cl)ccc2)cc(-c2ccccc2)c1-c1ccc(-c2ccc(Cl)cc2)cc1-c1ccc(-c2ccc(CCC(CC(C)CC[N+](C)(C)Cc3ccccc3)cc2)c2ccccc2)cc1-c1ccc(Cl)cc1,2.07835,post
303,Cc1ccc(-c2csc(-c3ccc(Cl)cc3)c2-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1cc(Cl)ccc1Oc1ccc(Cl)cc1,1.545082,post
304,Cc1ccc(-c2cc(-c3ccc(Cl)cc3)c(-c3ccccc3)c(-c3ccccc3Cl)c2-c2ccc(Cl)cc2Cl)c(Cl)c1,1.359702,post
305,CC(C)c1ccc(-c2cc(-c3ccc(Cl)cc3)cc(-c3ccc(Cl)cc3)c2-c2ccc(F)cc2)c(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,1.55647,post
306,Cc1cc(-c2ccc(F)c(F)c2)c(-c2ccc(CC(Cc3ccccc3)c3ccccc3)cc2)ccc1-c1cc(-c2ccccc2)cc(-c2cc(Cl)cc(Cl)c2)c1-c1ccc(Cl)cc1,0.0,post
307,CC(C)CC(C(=O)Nc1ccc(C(F)(F)F)cc1)N(c1ccccc1Cl)c1ccc(Cl)cc1,0.82037,post
308,OC(Cc1ccc(Cl)cc1)(Cc1ccc(Cl)cc1)c1c(Cl)cc(Cl)cc1-c1cc(-c2ccc(Cl)cc2)c(C#N)cc1-c1ccc(Cl)cc1,1.315268,post
309,CC(C)(C)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Oc3ccc(Cl)cc3)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1ccc(C(F)(F)F)cc,0.0,post
310,Cc1cccc(C(Cc2ccc(Cl)cc2)c2cc(Cl)cc(C(CC(C)C)CCc3ccc(Cl)cc3)c2[N+](C)(C)CCCc2ccccc2)c1-c1ccccc1C,1.526744,post
311,COCc1cc(-c2ccccc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1cc(-c2ccccc2Cl)c(Cl)cc1-c1ccc(Cl)cc1,1.57554,post
312,Brc1ccc(-c2cc(-c3ccc(Cl)cc3)c(Cl)s2)ccc1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)cc1-c1ccc(Cl)cc1,0.0,post
313,Cc1cc(-c2cc(C(F)(F)F)ccc2C(F)(F)F)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,2.128902,post
314,C(CC(F)(F)F)N(Cc1ccc(Cl)cc1)n1c(Nc2ccc(Cl)cc2)ccc1-c1ccc(Cl)cc1,0.89495,post
315,Cc1ccc(-c2cc(Cl)cc(Oc3ccc(Cl)cc3)c2-c2cc(Cl)cc(OCc3ccc(Cl)cc3)c2Cl)cc1-c1ccc(F)cc1Cl,1.442682,post
316,CC(C)(C)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(-c3ccccc3)c(Cl)c2)c(-c2ccc(Cl)cc2Cl)c1-c1cc(-c2ccccc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1ccc(C#N)cc1,2.243258,post
317,O=C(c1ccc(Cl)cc1)c1c(C(F)(F)F)cc(-c2ccc(Cl)cc2)cc1-c1ccc(-c2ccc(Cl)cc2)cc1-c1ccc(Cl)cc1,1.3218,post
318,CC(C)(C)c1cc(-c2ccc(C(F)(F)F)cc2)c(-c2ccc(F)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1cc(-c2ccccc2)ccc1-c1ccc(Cl)cc1,1.61042,post
319,CC(=O)N(Cc1ccc(Cl)cc1Cl)c1c(CCc2ccccc2)cccc1-c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1c(Cl)cc(Cl)cc1Cl,1.62667,post
320,COc1cc(C(F)(F)F)ccc1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2cc(Cl)cc(Cl)c2)c1-c1ccc(-c2ccc(Cl)cc2)cc1-c1ccc(-c2ccc(Cl)cc2)c(Cl)c1,2.06238,post
321,Oc1cc(-c2ccc(Cl)cc2)ccc1-c1nc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,1.47096,post
322,COc1cc(-c2cc(-c3ccc(Cl)cc3)ccc2-c2c(Cl)cc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)cc1-c1cc(-c2ccc(Cl)cc2)c(-c2ccccc2Cl)cc1-c1ccc(Cl)cc1,2.02584,post
323,Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)cc1-c1cc(-c2ccc(Cl)cc2)ccc1-c1ccc(-c2ccc(C(F)(F)F)cc2)c(-c2ccc(Cl)cc2)c1-c1ccc(C(F)(F)F)cc1,1.998222,post
324,Cc1cc(Cc2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1cc(C(F)(F)F)ccc1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1cc(C[S+](C)[O-])ccc1C,2.270134,post
325,CCC(C(Cc1ccc(Cl)cc1Cl)c1c(C(Cc2ccccc2)c2ccc(Cl)cc2)cccc1-c1ccc(Cl)cc1)c1ccc(Cl)cc1,1.45153,post
326,Cc1cc(-c2cc(F)ccc2)c(-c2ccc(Cl)cc2)c(-c2cc(Cl)cc(Cl)c2)c1-c1c(C(C)C)cc(-c2ccc(F)cc2)c(-c2ccc(Cl)cc2)c1-c1cc(C(F)(F)F)ccc1-c1cc(Cl)cc(C(F)(F)F)c1,2.203722,post
327,O=C(c1ccccc1)c1nc(-c2ccc(Cl)cc2)c(-c2ccccc2Cl)c(-c2ccccc2Br)c1-c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1Cl,1.86645,post
328,Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2cc(Cl)cc(Cl)c2)c1-c1cc(-c2ccc(COCCF)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,2.104432,post
329,CC(C)(C)c1cc(-c2ccc(Cl)cc2)c(-c2cc(-c3ccc(Cl)cc3)c(Cl)cc2)c(-c2cc(Cl)ccc2Cl)c1-c1ccc(Cl)cc1,1.52395,post
330,CC(C)(C)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2cc(Br)ccc2C(F)(F)F)c1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1cc(Cl)ccc1Cl,2.26752,post
331,Cc1ccc(-c2cc(-c3ccc(F)cc3)c(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3)c2-c2c(C(C)(C)C)cc(C(F)(F)F)cc2Cl)c(OCc2ccccc2)c1C(Cc1ccc(F)cc1Cl)c1ccc(Cl)cc1,2.114512,post
332,CC(C)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1cc(-c2ccc(Cl)cc2)c(-c2cc(Cl)ccc2Cl)c(-c2ccc(Cl)cc2Cl)c1-c1ccc(C(F)(F)F)cc1,2.2392,post
333,Cc1cc(-c2ccc(C(F)(F)F)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1ccc(F)cc1,1.178112,post
334,Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,2.055822,post
335,CC(C)OC(OCc1ccc(Cl)cc1)c1ccc(Oc2ccccc2)c(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,1.14135,post
336,CC(C)(C)c1cc(-c2cc(Cl)ccc2)c(-c2ccc(Cl)cc2)c(-c2cc(Cl)cc(F)c2)c1-c1ccc(C(O)c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1ccc(C(F)(F)F)cc1Cl,1.91461,post
337,Cc1cc(-c2ccc(C(F)(F)F)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1ccc(-c2ccc(Cl)cc2)cc1-c1ccc(-c2ccc(Cl)cc2)cc1-c1ccncc1,1.901182,post
338,Cc1cc(C(F)(F)F)nc(-c2ccc(Cl)cc2)c1-c1cc(-c2ccc(F)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1Cl,1.647032,post
339,CC(C)(C)c1cc(-c2ccc(Cl)cc2)ccc1-c1cc(-c2ccc(Oc3ccc(Cl)cc3)c(Cl)c2)ccc1-c1ccc(Cl)cc1,1.4058,post
340,COc1cc(-c2c(C(Cc3ccccc3)c3ccccc3)c(-c3ccc(Cl)cc3)c(Cl)cc2-c2c(Cc3ccccc3)cc(Cl)cc2Cl)c(Cl)cc1-c1ccc(-c2ccccc2)c(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,2.35568,post
341,Cc1ccc(-c2cc(C(F)(F)C(F)(F)C(F)(F)F)ccc2-c2cc(-c3ccccc3)cc(-c3ccc(Cl)cc3)c2-c2ccc(C(F)(F)F)cc2)c(Cl)c1-c1ccc(Cl)cc1Cl,1.791882,post
342,Cn1cc(-c2ccc(Cl)cc2)c(-c2ccc(C(F)(F)F)cc2)c1-c1ccc(-c2ccc(F)cc2)c(-c2ccc(Cl)cc2)c1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1cc(-c2,0.0,post
343,COC(Cc1ccc(Cl)cc1)c1c(Oc2ccc(Cl)cc2Cl)cccc1-c1ccc(-c2ccc(Cl)cc2)cc1-c1cc(OC)cc(-c2ccc(Cl)cc2)c1F,1.54918,post
344,Cc1cc(-c2ccc(F)cc2)c(-c2ccc(Cl)cc2)c(-c2cc(Oc3cccc(Cl)c3)ccc2Cl)c1-c1cc(-c2ccc(Cl)cc2)ccc1-c1ccc(-c2ccc(Cl)cc2)cc1-c1ccc(Cl)cc1,2.118282,post
345,CC(Cc1ccc(Oc2cc(Cl)ccc2)cc1-c1ccc(Cl)cc1)c1cc(Cl)ccc1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2cc(Cl)ccc2Oc2ccc(Cl)cc2Cl)c1-c1ccc(F)cc1,2.29857,post
346,Oc1ccc(Cc2cc(Cl)cc(Oc3cc(Cl)cc(Cl)c3)c2Br)cc1-c1cc(-c2ccc(Cl)cc2)ccc1-c1ccc(Cl)cc1,1.38058,post
347,N#Cc1cc(-c2ccc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3)c2-c2ccc(Cl)cc2)c(-c2ccc(F)cc2)c1-c1cc(-c2ccc(Cl)cc2)c(-c2ccccc2F)c(-c2ccc(C(F)(F)F)cc2)c1-c1cc(Cl)c,0.0,post
348,CCOc1cc(-c2ccc(C(F)(F)F)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1cc(-c2ccc(Cl)cc2)c(-c2ccccc2Cl)c(-c2ccccc2Cl)c1-c1ccc(Cl)cc1,2.10139,post
349,Oc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,1.13272,post
350,Oc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2cc(Cl)cc(Cl)c2)c1-c1ccc(-c2ccc(Cl)cc2)cc1,1.29942,post
351,CC(C)(C)c1cc(-c2cc(Cl)ccc2)c(-c2cccc(Cl)c2)c(-c2ccc(Cl)cc2Cl)c1-c1cc(-c2ccccc2)cc(-c2ccc(Cl)cc2)c1-c1cc(-c2ccccc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl),0.0,post
352,Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2c(Cl)cccc2Cl)c1-c1cc(Cl)ccc1C,2.152004,post
353,c1ccc(-c2cc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3)cc2-c2cc(Cl)ccc2)c(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,1.5609,post
354,Cc1cc(-c2cc(Cl)cc(Cl)c2)c(-c2ccc(Cl)cc2)cc1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(-c3ccccc3Cl)cc2)c1-c1ccc(C(F)(F)F)cc1,2.027022,post
355,COc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2cc(Cl)cc(Cl)c2)c1-c1cc(-c2ccc(OC)cc2)ccc1-c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)c1-c1cc(Cl)cc(Cl)c1,2.25874,post
356,Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(Cl)c1-c1ccc(-c2ccc(Cl)cc2)c(-c2ccccc2Cl)c1C,1.390544,post
357,CC(C)CC(OCc1cc(C(F)(F)F)cc(Cl)c1C(F)(F)F)(C(F)(F)F)C(F)(F)F,0.78037,post
358,COc1cc(-c2cc(C(F)(F)F)cc(Cl)c2)c(-c2ccc(Cl)cc2)c(-c2ccc(CCl)cc2)c1-c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1cc(Cl)cc(CCc2cc(Cl)cc(OC)c2)c1Cl,2.14894,post
359,Cc1cc(C(F)(F)F)cc(-c2cc(-c3ccc(Cl)cc3)cc(-c3ccccc3)c2-c2ccc(-c3ccccc3)cc2)c1-c1ccc(Cl)cc1Cl,1.497602,post
360,Cc1cc(C(F)(F)F)c(-c2cc(-c3cc(Cl)cc(Cl)c3)cc(Cl)c2)c(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1Cl,1.360222,post
361,Cc1ccc(C(F)(F)c2cc(C(F)(F)F)cc(-c3ccc(Cl)cc3)c2)c(-c2cc(-c3ccccc3)c(-c3ccc(Cl)cc3)cc2)c1-c1cc(-c2ccc(F)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1,0.0,post
362,Oc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,1.06738,post
363,CC(C)(C)c1cc(-c2ccc(Cl)cc2)c(-c2cc(Cl)cc(Cl)c2)cc1-c1cccc(-c2ccc(-c3ccc(Cl)cc3)c(Cl)c2)c1C(c1ccccc1Cl)N(Cc1ccccc1Cl)c1c(Cl)cccc1Cl,2.19959,post
364,COC(=O)NC(CC(C)C)c1cc(Cl)cc(Cl)c1,0.44366,post
365,Cc1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2C(F)(F)F)c1-c1cc(Cl)ccc1-c1ccc(Cl)cc1,1.229542,post
366,CC(C)(C)c1cc(-c2ccc(F)cc2)c(-c2ccc(Oc3ccccc3)cc2)c(-c2cc(Cl)cc(Cl)c2)c1-c1ccc(C(=O)c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,1.94155,post
367,Cc1ccc(-c2cc(Cl)ccc2S(C)(=O)=O)cc1-c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c(-c2ccc(CC(F)(CCC#N)Br)cc2)c1-c1ccccc1Cl,1.59211,post
